,Comments,Average Score
2117,They USED TO be good. I downsized my package n over the phone was offered the deal I accepted but in fact they gave me a different deal n there is nothing I can do as they don't have it on the system. Simply woman from customer service LIED to me to make me stay with them! DO NOT RECOMMEND. Speed is ok but now n then I loose connection,2.0
2118,"Do not recommend virgin. We queried the price as a customer of over 4 years it has gone up to Â£41.23 with out any correspondence. (Broadband only) over the phone they said they would drop it to Â£30 and NEVER told us this would be a new contract. We moved out of our home and currently donât own a home to move our broadband too they have said they will charge us an cancellation fee and all they have to do is prove they sent a letter about a new contract, not that we received one or read one. Because had I of received one I would have queried it there and then!!  Spoke to a very rude guy called Gary he kept interrupting me and laughed that I didnât currently have a house! I found this very rude and inconsiderate! We never agreed to a new contract never received any correspondence and they are not willing to hold the account until we have a new address just give them money for a service we wonât be using!! Will NEVER use virgins services again if thatâs the case!  Since asking others opinions on virgin Iâve not heard anything good either... maybe itâs was a expensive blessing in disguise as I will NEVER use virgin Mediaâs services again. Not if this is how they treat customers.  I have asked for the call that should have been recorded to be listened too as we didnât agree to a new contract and apparently this takes 40 days! I will be contacting the onmusbusman as the rather rude Gary said all they have to do is have a prove that they sent a letter. Not that it was received. Which was never received and was never agreed to over the phone. After Gary continued to be rude I told him that I have an app on my phone that my calls are recorded and he said well now you canât use this call.  I will be taking my complaint further with his attitude also.",2.0
2119,"was fine until i report that want to cancel due the price for next year, now i got 1mbs and i`m stock with that broadband for nearly month, it`s not funny, rubish",2.0
2120,"When it's working the connection speed is decent, but it never works. The reliability is by far the worst I've encountered, so if you value your time then stay as far away from Virgin Media as possible.",2.0
2121,"worst service. and really poor customer service.service interrupted many times. and the staff dont understand anything. one even told me i dont have any account. i had to ask then why you are charging me monthly....paying 35 pounds for this interrupted service is really frustrating..it stops in the middle of watching a movie..annoyed, dissatisfied, angry, and virgin media is unhelpful.",1.0
2122,"very very poor customer service  They make all the effort to charge you extra. My contract finished and VM kept charging me saying it is my responsibility to inform them about my contract ended. They put me on new contract with increase price without my consent. How on earth someone forcefully implement their new cost without acknowledging customers  very deceitful",1.0
2123,"V V poor customer service  My contract finished and VM kept charging me extra new price saying it is my responsibility to inform them about my contract ended.  How on earth the contract work like that after contract period you been put off on new package without your consent. The customer service very poor rather admatting their mistake putting all the things on your head after contract time finish.",1.0
2124,"Very disappointed in virgin media. Worst service ever. Iâve booked for broadband to be installed in my property beginning of February. I was given 15th February slot 1-6pm. Iâve taken half day off work to wait for an engineer. No one has contacted me (only messaged reminder one day before with time slot) so I rang at 5.40pm only to find out that the work wasnât supposed to be done at my home but outside and I was given another day for a visit-27th. Again Iâve waited 1-6.40pm and no one showed up. I rang virgin next morning and they told me I was scheduled for 28th so yet again Iâve waited for someone to show up.. nobody showed up!!! When I rang again they said they can reschedule me for 13th of March!! Why?!? I was at home, waited all this time. I said I wasnât happy but the guy I have spoken to wasnât at all supportive. He was not interested in what Iâve had to say, so Iâve cancelled. Big headed company, not interested in their customers.. I hope other people with similar experience back me up on this",2.0
2125,"Called their customer service to undo the cancelation of the broadband at my address, (it was canceled by the owner ny mistake a day ago, the 12-month broadband contract has ended and the broadband continued on a 30-days rolling basis and we would want to keep it this way for another month or two), the operative told me that by doing so I will have to pay a Â£25 activation fee, plus they will send me a new VM Hub because mine was an old model. Futher the discussion the operative put me on hold for a while and told me that the activation fee is reduced to Â£20 plus they will still need to send me the new Hub. I asked ways to return the old hub and he put me on hold again, and told me that I need not to return the old hub, I can use my old hub and there will be no activation fee in this case, my line activation should take no more than 24 hours (keyboard typing at his end). However after 48 hours there was still no internet service. Therefore called them again (another operative) and I was told that there is no pending activation, if i need to use the internet then I will have to sign up another contract. Clearly they dont practice recording the conversation with their customer nor keep a record of what was discussed between and done with their customer's enquiry, what they are telling is different from one another. You will have to record the whole conversation to act as a proof to operative B of what operative A has agreed but failed to do so.",3.0
2126,"Good luck if service is working as advertised. Engineer made a poor job of reconnecting old service, cables frayed and exposed. Customer service overseas utterly incompetent. Prolonged service outages, with ever moving fix schedule. Avoid at all costs if you need reliable connection.",2.0
2127,"Got a new sim for a ""Network Expansion"" - Yea, right... Put new sim in, and ""Sim Not Supported"", Phoned them up, and now my phone is literally DISABLED, you cant do nothing for 5 working days, Farewell to my business for 5 days, sorry any of my customers and people after quotations, i have lost money, over this, i will be seeking compensation...",2.0
2128,Absolutely awful service. Would not reccomend virgin media to anyone. Customer service are useless. Constantly have disruptions to service and nothing is ever done about it. STAY AWAY FROM VIRGIN MEDIA,1.0
2129,"Broadband speed of 100Mpbs was promised, but we raarely get more than 3 Mpbs during the peak time.(Betwwen 7.00 pm and 9.00pm). When tried to cancel the service at the end of contract, i ahd to psend more than 1 hour on phone and call multiple time as they keep transferring from one person to another person. They played every trick to move you away from cancelling the service",2.0
2130,"Absolutely terrible customer service, no one at virgin has any idea what they're doing and just pass you from person to person, no matter how many times you explain the problem they just don't get I, 6 months later and things are worse then ever, nothing works but they're still happy to take your money.",1.0
2131,"Where to start! These people set new standards of low in customer services. I am working abroad now so makes sense for my wife to take control of our account. It has taken since August last year to do this, in between we have been cut of twice. Over charged, reconnected, had the phone cut of for 3 months and suffered terrible broad bad speeds. the broad has got so bad we called for assistance the guy has finally turned up today late and said not surprised your broad band is rubbish you should have been sent a new box 2 years ago. I thought it was all solved when i threatened the ombudsman and we did get some service to only then find out that they had not changed the payment process from mineto my wifes name and i was about to get a black mark on my credit rating. But you have to struggle on service only slightly better with other providers over the years. My experience of Virgin Care the parasite that is eating away our NHS is not better, company is constant though constantly terrible!",2.0
2132,"Several text reminders that an engineer is visiting today between 1 and 6pm, seemed well organised, ..... I was here for 8 hours no bloody engineer..... rang up customer services, yeah heâs running late maybe heâll be there at 7...... cheers for the update virgin",2.0
2133,"Just been woken up at 02.30 for an automated cretin voice to tell me that I have reached my limit on data.This seems to be a new, UNWANTED, addition to Virgins service.I have a son working in central Poland, a granddaughter in Australia so what do you think the obvious conclusion is?Last twice I have attempted to get something done by their Customer Service, I have had to ask time and again for the agent to repeat what she is saying as her accented that almost everything is unintelligible to me.  Last time, after almost an hour, nothing was resolved.Been a customer since the very beginning, but fast losing patience.",2.0
2134,Avoid. These people steal our air. A good company cares for their customers when things go wrong. Virgin Media is not one of them.,2.0
2135,"Had them for a couple of years because they were the only fibre option available at that time ... In a 12 month cicle, they are good for 1 month after every renewal ... And overpriced rubbish for all other 11 months.",1.0
2136,"-Horrible speeds,-Misleading customers in to ""upgrading"" to 70-80mb lines just to find out from the engineers that you were set up on a rubbish 17mb card-ripoff prices that keep being increased over and over-almost impossible to get support on the phone,-if you do get someone to answer, there are situations when you probably know more about hardware and broadband then them. -if something goes wrong at their end, be ready to wait for 5-6 days untill they send an ""engineer"" and another couple of days to have it fixed.",2.0
2137,"Customer service is a joke. Internet often down due to their exchanges constantly having problems. When working, speed is good but variable. I will be looking at moving providers when my contract expires. (There must be better out there!)",2.0
2138,"Poor service. A real pain if you need to  get anything like the service advertised or indeed pay for.  I would prefer to give 0 stars for customer service",3.0
2139,We do not have internet connection from last Saturday 17th of February 2018 and they are telling us the same story every day.  it says it will be fixed by 12 pm / 5 pm / 10 pm everyday same story for last 5 days. There shouldn't be any unscheduled downtime. What is the problem and when will it be actually fixed no reliable information available. I don't want this again tomorrow and the day after. anyone facing the same problem @ WC1 area Kings cross?,2.0
2140,"The nightmare of trying to organise the disconnection and re-connection to my new home was laughable. In the process I had to confirm my old and new address and password 7 times. Cheap outsourcing has its consequences and your call center on this occasion left me utterly frustrated and fed up. We need some decent competition to Virgins fibre optic services, anything would be better than this headache!",1.0
2141,Reliability seems to be improving. Current levels are very adequate. We have 200 Fibre service. Get from 10 to 45,1.0
2142,"Kept in all day waiting for engineer. No communication,spoke to Indai 3 times, finally told them where to put their ""service"".",4.0
2143,"I can say i am extreamly disappointed with virgin media, had to cancel my account through no fault of my own, as i had to move house and they couldnt provide their service to my new flat. then without my consent i get a fee taken out of my account. I do not recommend them at all. Considering i once had to cancel Sky and due to a move and they said that although i am in a contract with them it is not my fault my current home doesnt let them be a provider. Therefore in my opinion if any of you out there are thinking inbetween sky or virgin. I would definitely recommend sky they are great.",2.0
2144,I have been a Virgin customer for years but once my contract is up I will be leaving.Since they brought the new routers in I have had nothing but trouble..The Wi-Fi keeps going off every few minuits I am paying for 100megs but lucky to get 1 it is absolutely ridiculous.Customer services just keep fobbing you off with excuse after excuse.They don't give a jott but keep on taking your money.,1.0
2145,"Contacted in September re; joining Virgin.Installation on January 25th. Installer couldn't activate installation i was ringing on mobile till 7pm. Left with 4 plug extension lead plus 2 plugs connected to 2 plug socket = Fire Safety Hazard.Plus no phone connection still; Virgin hasn't contacted previous provider.Haveto date have had yet another of piece necessary equipment installed now 7 plugs connected to 2 plug socket !!!!! Have had bill from previous provider plus 1st bill from Virgin.Not using any equipment from previous provider and can't on advice of Fire Safety Officer use new equipment from Virgin. Have contacted Virgin several times full of excuses.Want me to pay Â£100 for 5 new sockets.Contacted CEO of Virgin Media haven't bothered to contact me.How many more customers have been left in such circumstances.",1.0
2146,More than two months for an internet installation. No feedback about the process. And now mi first bill came and I cannot see the discount promised. Virgin Media is a dishonest company,1.0
2147,"Most days we loose Broadband at some times of the day, it is very irritating. Customer service hides away, so difficult to discuss problems with Virgin. looking find a reliable service.",1.0
2148,"I've been with these guys for about 5 years. Moved to BT for 18 months, which was one of the worst moves I have made... At the end of the contract, I went straight back to Virgin Media. Very good speeds and reliable connections where I live. Recently speed was doubled for free - so pretty nice to have something like that for nothing. In the 5 years, it's only failed once that I can remember and that was an old terminal box at the wall that had developed a fault - engineer came out the next day and replaced it. The only downside is that if you want to get in contact or speak to someone it's hard to find the right section - but that's minor as it happens infrequently. In general, the best broadband provider I have used!",2.0
2149,"Having tried to negotiate a better deal for my elderly mum who has been a customer of Virgin Media for over 10 years, I was offered a small discount and a new set top box (her old one was over 10 years old as well). I specifically asked if the set top box would cost anything and was told it would not. When I checked her next bill not only had they charged her for a TiVo box (which is rubbish) the bill has gone up because of some additional subscription for TiVo. I immediately went online and switched to Talk Talk. When mum continued to get bills from Virgin I contacted them to complain and they said that only the telephone had been switched and that broadband and (free) TV were still connected - and that when I had accepted the new TiVo box and agreed to the discount I had effectively signed a new contract with them on mum's behalf. They did not tell me this at the time and they say they sent an email to the service email account which has never been used as mum gets her bills through the post. I was told that they would get back to me within 48 hours after reviewing the original telephone conversation. They never returned the call and are now demanding contract cancellation fees AND are still charging mum for a service she does not and has not used since November. Do not trust Virgin Media they are dishonest, and downright deceitful.",2.0
2150,Again twice today my broadband has gone down. This is a regular occurrence. Can't wait for next price increase and I'm off. Virgin media are unreliable.,2.0
2151,"Salesman convinced me that Virgin's broadband would enable my son to use the internet in his bedroom. When the engineer came to install the broadband I asked him if the broadband signal would work in my son's bedroom. He looked up the stairs and said 'It will work, I cannot see any issues'.Broadband installed and NO signal in my son's room. Called Virgin, back and forth between customer services and technical dept. Engineer can come out again and preposition the box, or you can buy a booster. However cannot do anything today as engineer has not closed the job and it is still active so call back tomorrow. Goodness and it has only been installed today. Well the sales man lied to get a sale?? What a surprise, and no assistance until tomorrow. Really no point in changing from Sky to Virgin as they are both useless",3.0
2152,Slow hand clap for those in charge of customer service - they have messed up my business line installation and I now have no working service for my company - they are thicker than a whale omelet and don't answer the phone for support - expect 30 mins of call waiting at cost every time you call to try and get it sorted - no email support....,1.0
2153,"I have had 5 service outages in the past 17 days, totalling 40 hours, and when I phone Virgin Media they cannot tell me why their network keeps failing or whether it is likely to keep failing in the future. The ""service"" has become so unreliable as to be completely useless and I am now simply deciding whether to move to BT or Sky.",3.0
2154,"Terrible customer service, dishonest & money-grabbing company. Mediocre broadband. Virgin don't give a damn about their customers.",2.0
2155,ABSOLUTELY AWFUL virgin media have my blood boiling absolutely awful over priced and just terrible with all of there services. Do not ever go to virgin sky is so much better,2.0
2156,"Will never again use or recommend virgin to any family or friends. Customer services advisors are rude and serve no purpose to help! Turns out the ""small tv package"" is free but you pay 5 pound a month for the tv box? If much rather buy a freeview box and watch the channels on there, for 1 there's more of them and for 2 you don't have to pay a monthly charge for having it! Absolutely ridiculous money grabbing company to be avoided at all costs! Oh and don't try to leave them because the just want to slam you with a 150pound cancellation fee! I thought sky was bad well hello to something even more worse.",2.0
2157,"I have been left angry and frustrate by the way I have been treated by Virgin Media and I'm only 3 wks into my contract.The engineer installed everything he could but couldn't register it due to problems in the day. I finally get through to register at 7pm using my mobile.So phone or internet for approx 5hrs.I had to connect phone.Sister concerned as she couldn't get through to me having rang several times I'm disabled and live alone.Find out phone not working, contact virgin new number given even though I'd asked to keep old number. Contact virgin to be told that it's unlikely i can have old number as they are only given a week to transfer. Contacted previous provider virgin hasn't been in contact with them!!! So my account still open and they will wait for Virgin to contact them.Have to wait at least 14days before I get old number.Today I find i have a bill from previous provider 53.87 and to top it all virgin has taken 102.95 for a service that isn't fully up and running.?Virgin technician arrives today with another piece of equipment.I Now Have an extension lead of 4 olive connect to 3 plugs = 7 plugs in a 2 plug socket. When I complained about fire safety risk they want 99.00 to install extra plug.",3.0
2158,"SO FRUSTRATING AND DISAPPOINTING, TERRIBLE SPEED AND I LOOSE BROADBAND , EVEN WHEN SITTING DIRECTLY OPPOSITE THE HUB,  A DISGRACE AND THE SMALL PACKAGE OF TV SEEMS WORSE THAN FREE VIEW AND YOU PAY FOR IT ? THE STAFF WHEN YOU PHONE TO DOWN GRADE WORK HARD TO UP GRADE YOUR CALL, ITS SO FRUSTRATING.",3.0
2159,"I just got tv box from Virgin, and again they can't manage to calculate bills correctly. Instead of paying Â£40, took Â£84! So angry. I don't even know where to start to get my money back, because customer service is so bad! Don't really want to waste my time and money trying to get some help from them. I am customer for 8 years and i think it will be last year!",3.0
2160,"Absolutely sick of Virgin I have been with them nearly 30 years!Tried to leave today quoting expense old equipment They were not interested They know they have got you. Will not change for modern equipment so stuck with old obsolete boxWhy canât you you just let people leave?",1.0
2161,"Never will I use virgin again, everyday I was having to phone customer service because the internet wasn't working or going so slowly I was pulling my hair out and then when they sent a engineer out he broke the bed when moving it because he lifted it from the end yes it was a old wooden bed but it wasn't broken until he moved it. When we phoned up to complain they sent a manager round to look at the bed who told us the engineer had told him I had moved the bed which I hadn't had it was to heavy for myself to move it. They blamed us",2.0
2162,"Got to be the worst company to go withGive better deals to new customers nothing to Old customers no loyalty whatsoever not even match the deal that new customers are getting.When told going to cancel and open a new account on my other halfs name and get the better deal makes no sense for them not match it but they're rather me cancel it and get a new deal as a new customer on another name pathetic",2.0
2163,"Got to be the worst company to go withGive better deals to new customers nothing to Old customers no loyalty whatsoever not even match the deal that new customers are getting.When told going to cancel and open a new account on my other halfs name and get the better deal makes no sense for them not match it but they're rather me cancel it and get a new deal as a new customer on another name pathetic",1.0
2164,Didnât show when they said they would install cost mrs days work no txt or call to say they werenât bothering to come when I told them they couldnât care less about it (very rude) donât know if we will stay with them,1.0
2165,"The most bad customer service ever !There staff except to reset your router couldn't do anything else!The service is terrible!For 7 mouths they can't send someone to change my router !Lechery I don't know why i pay so much money for nothing few steps far from there ""amazing router"" and you don't have internet!My advice is choice everything else except virgin media!!",2.0
2166,The worst experience of my life. Been with sky but my new landlord wanted me to pay to put the dish up. Shouldâve paid up. Virgin media are thieves and they do not honour contracts. They are bullies and cheats. And donât even think a year of service will soften them. NOOOOO... virgin media is daylight robbery. DO NOT GET INTO A CONTRACT WITH THEM. THEY WILL IGNORE IT AND INSULT YOU IN THE PROCESS. THEY KNOW YOU WILL NEED TO SPEND MONTHS CHASING THEM. AND THEY KNOW YOU DO NOT HAVE THE TIME. GO SKY YOULL NEVER GO WRONG.,2.0
2167,"AVOID AT ALL COSTS. Unpredictable, unreliable and extremely slow. Customer service is constantly clogged up thus meaning 10minute + holding times. There has been times were the internet is down for days, which is unacceptable especially as a student with deadlines",2.0
2168,"On the wc 29th Jan 2018, I purchased a broadband service from virgin media, with an agreed 15th Feb installation date. on the 8th Feb, I receive a call stating that there had been a problem and that not only they could not honour the installation date agreement, they also could not confirm a date by which they could proceed with the installation and would only be able to confirm a date in 5 working days. I asked to speak to a manager but was told that one was not available and that one would call me back in 1 hr. Two hrs passed and no one called. I called them again, a PREMIUM number, and they passed me through 2 different departments before coming back to me with the same: no date can be confirmed.  Keeping in  mind that I am a NEW client, how lousy can a company pride themselves to be? How arrogant and incompetent can you that you act as if you can mess around clients like this without any repercussion to your brand?  Absolutely useless. Cannot recommend in any way shape or form.",2.0
2169,"I rang virgin media's customer services in November to ask about leaving as I will be moving out soon. The lady I spoke to was rude and wasn't willing to help and was aggressive towards me. I asked for her supervisor at this point but she just shouted at me and said she will cancel my contract, I told her I didn't need to at the moment in time as I was just enquiring and she kept on being aggressive so I told her I was putting the phone down and I do not want my account to be cancelled as I will email. At the end of December they cut me of without my permission and have just received a letter today (08/0218) advising me that I have to pay a cancellation fee even thought I did not authorise this. I have had to ring them again to advise them of the above and they have been so rude and aggressive over the phone. Do not go with this company as they think it's ok to do what they like with your account.",4.0
2170,Terrible company. Asked me to join for 1/2 price again as I had moved address. Unfortunately from what I can tell they are the only people who would serve my address. I took up the offer and they then ended up charging me the incorrect amount by a large amount. Their customer service is beyond terrible. Have been cut off the phone several times over the year when I have called them and you get past from pillar to post around various call centres. They are beyond a joke and will be leaving them as soon as the year is up. Do not touch them with a barge pole. Cowboys.,3.0
2171,"I am leaving this review as the final straw that broke the camels back.My new neighbours in their semi house ordered Virgin. Virgin came out and ran the cable up OUR garden wall not theirs and then dug up our front garden to run the cable towards to house. Then ran the cable across the shared concrete steps to get the cable across to the neighbours garden and put a strip of concrete over the cable on the steps to hide the cable.  Beggars belief !!!1",2.0
2172,"Love virgin media , have not had a problem with my broadband for almost a year now and the speed is great. Unlike BT if there is any fault with broadband and an enginner comes out its free of charge.",2.0
2173,"Simply terrible treatment of a loyal customer! On moving house an engineer advised me to test the modem in its place (yes i did ask for it to be put there but was told it's working absolutely fine) for a while. If you are unhappy we will move it. Surprise when i ask for it to be moved i'm told i have to pay. That's waived when i point out engineers advice and advised trial period, but only when they read his notes. Relocation modem booked, engineer a no show. Call back a day later to be told pay 99 or we won't relocate the modem. No notes on my file apparently and no one cares that i took a day off work to wait for the engineer in the 1-6 time slot. (There was me thinking i'd get an apology and some compensation for the day!) If i had not called i'd be none the wiser. After that i spend 40 mins on the phone and told its deadlock you won't pay, we won't come!  I wonder how long it will be before someone responds to me complaint, doubtless i'll be told what complaint? What notes?  My contract is up in May sounds like the end of the road, if that advised contract date is correct that is!",2.0
2174,"MOST TERRIBLE EXPERIENCE WITH VIRGIN MEDIA!Not only the connection was very poor, no connection in bedrooms. prior to moving home i contacted VM to discuss moving our services, had to chase them even thou they assured they will contact me. on the day of the move i called again to find out they will take another 10-15 days to check their services, after an hour on the phone the VERY RUDE supervisor noticed they actually did check the property and somehow its is UNserviceable. then i was tranfered from one department to another as they all asked me to pay disconnection fee when i wasn't the one who wished to disconnect. until one representative decided to hang up the phone while i was talking.DONT USE VIRGIN MEDIA!!!",1.0
2175,"I cannot believe how much money this company invest in advertising and once you become a client they offer you the worst service. They have a terrible customer service, even one manger once when I was explain my frustration about alll the problems I was facing, he was so arrogant and talking on top of me about is 20 years career.Another one just hung up on my face today. I have been with this company since Cristams and they havenât gave me a telephone line yet, the tv work just sometime, I couldnât even watch fire work for new year eve because I had not channel. Internet connection is terrible, the area where I get connection in the house is very small, i cannot believ there are not penalty to pay for this rubbish company for the disgusting product are selling. I cannot wait to change it,",2.0
2176,"Every time I call virgin my blood pressure goes high, this company is full of useless,  they doesn't undesrtand what they have to do.After my 12 months contract I decided to give them the months notice to swap company,  after a couple of days, somebody from virgin called me to offer a good package for broadband and phone) to keep me with them.I accepted, but by sorprise, they cut off my service.I called them and one of the useless said that service was ended due to my request. That day started a new nightmare with virgin. I lost my phone line, nobody can find that conversation where I agreed to have a new 12 months contract. They estore my broadband in the mean time they looking for the evidence of new agreement.After a week, called virgin and the useless again said...sorry but you lost your number by your request, we put in place a new contract for your broadband and you have 14 days to cancel this new contract...I never agree a new contract, They never said this restore service was going to cost me a standar rate and on top without lineland.It's disgusting, 90% of customer service are Sh>>>useless, htey doesn't undertand nothing. I feel so frustrated, nobody care about customer, I swaped from BT(another Sh...)but virgin I think is worse.",2.0
2177,"Disgusting Company, was advise to upgrade service for better and cheaper deal. after 2 years of being a loyal customer my account has been blocked and no service for 5 weeks!!",2.0
2178,Horrible service overall. For the first Briodbandbis nowhere near what it was promised. In general whole company is full of promises which they canât keep. Convinced me to move over with a deal which wasnât noted in my account. Apparently now itâs my responsibility to have a proof of the conversation. Lame Virgin employee wasnât good enough to do his job to make sure everything is documented but took my bank details like a champ. Story short I ended up with year long contract for full price which is more what I was paying with other provider. Thanks Virgin Media.,2.0
2179,"Disgusting ****, first their internet is not as fast as they advertise but that's fine because no ones ever is. But they randomly cut off my internet saying i didn't pay my bill, but I did 2 weeks ago? Management must be geniuses.",2.0
2180,"They are awful, just stay away. I am changing as soon as my contract runs out.Customer service is very hit and miss,very overpriced and they just don't want to know when things gp wrong. can't run the amazon fire stick, 'its out of range so get a range extender' did still does not work. Only got 2 months left. Paying Â£60 a month!!!! its only 25ft away from the router and now the range extender is 18ft away still does not connect.",1.0
2181,"Absolutely awful, both as a company and a service.  They put up my charge as they had 'improved' the speed. Since then the broadband cuts out continuously, have to use my 4g on the mobile phone and when I phone up they tell me that there is no issue as it has been fixed.  Patronising and rude.  Thank the Gods my contract finishes soon.",1.0
2182,"At the end of the day, the broadband is excellent, but literally everything else about this company is not. When we first got it, I couldn't install it properly due to an issue with our house. We had to wait 2 weeks for an engineer to come and do a 5 minute job. 2 weeks when we were already paying 30+ a month. For a several million or billion pound company, that's just ridiculous. This doesn't include all the hassle I've had with customer service. The service is clunky and takes ages just to talk to a person. To be fair the people themselves are helpful and do their best but the company itself just makes the process as difficult as possible and puts them in a horrible spot. When faults happen, no email to let you know, just an ""oh that'll be a few days before you get your service back"" when you go through the 15 minute call to get hold of them. Literally the worst company I've ever dealt with. Now that fibre optic is being offered by other companies, go with literally every other one. Virgin is the worst company I've ever deal with, and I will never buy or use another of their products ever again.",2.0
2183,"ABSOLUTE B******S - IF YOU'RE EVEN CONSIDERING VIRGIN MEDIA OR MOBILE, SAVE YOURSELF AND GO ANYWHERE ELSE - PAY MORE IF YOU HAVE TO! The internet constantly shuts off for hours on end. They put it down to 'maintenance works. No heads up, no advanced warning. When you finally give in and call, they give you an incorrect estimate for the time it will take to get back online - further messing you about in making alternate arrangements for times when internet is absolutely necessary - doing a masters degree in my case. They refund you at best 73 pence (or similar) as a 'daily maximum reimbursable amount' and have or show no compassion to any of the previous instances you've had to face as a consumer. I'm shocked they are still open and receive new business, a company like this should have dissolved long ago. I warned the representative I would be documenting my experience online to which he said 'you are within your rights to do that'. He showed no remorse in loss of consumers and it became clear, Virgin - as a company, simply do not care for existing customers. I cannot wait to change company, only reason I can't is because I'd be 'subject to an early termination fee' which I am not going to be paying.  I truly hope if you are not with Virgin and have read this message, you save yourself a long future of poor internet, poor customer service and hours lost on phonecalls with practically 0 resolution.",1.0
2184,I have been with virgin media 11yrs rang andasked why I get loads of crap phone calls as am x directory and they blamed me asked how much to ad tv tomy package was told 100mb anytime calls and mix tv package 40 then 41 asked what channels mix tv was got told mix so I said I would call back when id looked at the channel list when I rang back I got the most inconsiderate costomer service moron he told me it was 57 got told of his manager he had put 51 down I told him look at the call log I was told 40 then 41 said id leave there not bothered avoid like the plague i would advise not to go to virgin they slow you down even when you have unlimited broad band and offer new costomers better deals,1.0
2185,200mbps. You must be joking. Its 11.40 pm. Iâm gettiang 40mbps. Over subscribed isnât the word for it. They donât give a damn about their existing customers. They are only interested in new business.,1.0
2186,"Over past 10 years I've had so many problems with virgin media. The service they provide is slow, cuts out often, and sometimes is down completely due to 'faults' that they provide no refund. There is no option to file a complaint on the phone. Avoid at all cost. Worst internet provider ever.",2.0
2187,AVOID!! Worst service possible! I am disgusted at how the handle customer issues! their sales agents would just lie to you to get you tied in a contract! they record/monitor calls but somehow they are not allowed to listen to these calls! of course when it doesn't benefit them!! DO NOT GET IN A CONTRACT WITH THEMMMM! Rubbish services. 0/10,2.0
2188,"*I have a VIVID 350 Optical Fibre broadband contract with virgin media, which had to be the fastest and unlimeted broadband connection, however,  I can not even watch Netflix or Amazon without  stopping every 5 minutes coz of "" Insuffufficient Bandwidth""  appaels on my tv. *After waiting 30 minutes to talk to a customer serviceâ; I was given a promise that bad connectioâân would not be haâppâen again, however âI have still the sameâ problem every day.â* I was overchargeââd on my first bill for set up cost. I was charge Â£60 for the virgin broadband, it supposeâd to be only Â£20!",2.0
2189,"Frequent complaints about speed,should be 200 although 300 is available in my postcode area. Always assured it is correct but i know it is not. was told i had to use their system but could not uderstand what that was. in addition to smart tv.We use 4 other tvs all with cable boxes a laptop, 2ipads, 4mobile phones and 1landline",2.0
2190,What an absolute joke this company is. After 20 years with Virgin we have been having broadband issues for the last 2 years. I pay 100 a month for basic package with 200mb download. The average speed I get is 10. I have been given a 2 week refund as the broadband keeps going off 10 to 15 times a day. They gave me Â£3. What an absolute joke. So does that mean I should only be paying Â£6 a month as that's all its worth. Waited in all day for the engineers to replace cable didn't turn up. Virgin don't give a crap about there customers and this just proves it. Goodbye Virgin .,3.0
2191,"DON'T USE!!!   Utterly horrible.  Unreliable internet which often dropped out and far slower than advertised speeds.When I left my address, I cancelled the plan and called Virgin - I was told that I was fully paid up and could cancel my direct debit. Apparently this was not correct - I've since received a ""default notice"" threatening court proceedings over some 30 pounds. Virgin has not responded to any of my emails, and I have not been able to contact them as I have been overseas. The idea that they would take me to court when I did exactly as they instructed, and when they never held up their own end of the bargain at any point (by providing reliable internet) is just awful. I would not recommend Virgin media to my worst enemy.",1.0
2192,"The worst network I have ever experienced. Absolutely terribly. The WiFi went every day and when we called them to ask for help they did nothing. Very slow, constantly cutting out. We live in the 21st century and if a service provider can not provide something as simple as WiFi, then they should not be in that sector. Do NOT sign up with them. Worst ever.",2.0
2193,"Since i ve mouve house, i had just probems with monthly payments and bad customer service over the phone.Every month i ve been force to call to resolve extra chargers that they send me , even if i had a fix monthly charges. And every time i wanted to make a complain they said is no necessarily! How is this possible !?After i will change the house i will make sure to not contact them for another contract and to not recomand ever .For those of you who thinks to get a contract with this guy (virgin media) please consider sky or talk talk!!",2.0
2194,"Absolutely rubbish internet. I've used sky before and then moved here and switched to virgin. We pay over Â£100 a month for the top package - fastest network and bandwidth available and newest router - and it's absolutely pants. I wish we'd never got virgin. I'll be going back to sky when we move again. I can barely do anything without it disconnecting, it never reaches and is generally terrible. It's overpriced and awful, save the money and go with cheaper and more reliable sky - or anybody else!!",2.0
2195,"Please stay away at all costs. Weâre paying Â£36 a month promising speed of up to 120mbs, yet weâre recieving not even a fraction. They then have the audacity to bump up the price to Â£39 a month. If youâre a student stay away.",2.0
2196,"Probably the worst broadband someone could have. The connection always falls (sometimes 9/10 times a day) and we have to call every single day for them to momentarily solve the issue. A technician came in and changed the rooter, only for it to stop working after less than 24 hours. Every person weâve spoken to is quite helpful but this doesnât solve the actual problem, which has been persistent. Please think twice before choosing Virgin Broadband since it is the crappiest broadband out there. And weâre stuck with a 12 month contract although weâll only be living in this flat for 6 months and donât know how to get out of it since there wasnât a shorter contract and we thought it was at least going to work properly but it doesnât. A supervisor is meant to come on Friday and we can only hope theyâll resolve the issue, although I immensely doubt it. DO NOT CHOOSE VIRGIN BROADBAND, ITâS SO NOT WORTH IT!",2.0
2197,My phone is not working for the whole day .Last month and before my broad band was not working .The service is unsatisfactory for the money I pay every month. If I am not compensated for the loss off service. I intent to go to another provider as my contract finishes next month,2.0
